"UTMX","UTMY","name"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4299500,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300000,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4300500,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4301000,"Kent Island Ground"
NA,4299000,"Bloody Pt Bar"
NA,4299000,"Bloody Pt Bar"
NA,4299000,"Bloody Pt Bar"
NA,4300000,"Bloody Pt Bar"
NA,4300000,"Bloody Pt Bar"
NA,4296000,"Wade Pt Ground"
NA,4296000,"Wade Pt Ground"
NA,4296000,"Wade Pt Ground"
NA,4296000,"Wade Pt Ground"
NA,4296000,"Wade Pt Ground"
NA,4296000,"Wade Pt Ground"
NA,4296500,"Wade Pt Ground"
