X,colout,Sdepth,UTMX,UTMY
45054,7.51,1,403000,4127000
45055,7.44,1.5,403000,4127000
45056,7.3,2,403000,4127000
45057,7.09,2.5,403000,4127000
45058,6.76,3,403000,4127000
45059,6.46,3.5,403000,4127000
45060,6,4,403000,4127000
45061,5.93,4.5,403000,4127000
45062,6.19,5,403000,4127000
45063,6.16,5.5,403000,4127000
45064,6.3,6,403000,4127000
45065,6.31,6.5,403000,4127000
45066,6.32,7,403000,4127000
45067,6.34,7.5,403000,4127000
45068,6.36,8,403000,4127000
45069,6.37,8.5,403000,4127000
45070,6.37,9,403000,4127000
45071,5.08,9.5,403000,4127000
45072,5.07,10,403000,4127000
45073,5.07,10.5,403000,4127000
45074,5.07,11,403000,4127000
45075,5.07,11.5,403000,4127000
45076,5.07,12,403000,4127000
44912,7.57,0,403000,4128000
44913,7.59,0.5,403000,4128000
44914,7.57,1,403000,4128000
44915,7.49,1.5,403000,4128000
44916,7.34,2,403000,4128000
44917,7.09,2.5,403000,4128000
44918,6.7,3,403000,4128000
44919,6.34,3.5,403000,4128000
44920,5.84,4,403000,4128000
44921,5.78,4.5,403000,4128000
44922,6.09,5,403000,4128000
44923,6.06,5.5,403000,4128000
44924,6.21,6,403000,4128000
44925,6.2,6.5,403000,4128000
44926,6.22,7,403000,4128000
44927,6.23,7.5,403000,4128000
44928,6.25,8,403000,4128000
44929,6.26,8.5,403000,4128000
44930,6.26,9,403000,4128000
44931,5.08,9.5,403000,4128000
44932,5.07,10,403000,4128000
44933,5.07,10.5,403000,4128000
44934,5.07,11,403000,4128000
44763,7.64,0,403000,4129000
44764,7.66,0.5,403000,4129000
44765,7.64,1,403000,4129000
44766,7.55,1.5,403000,4129000
44767,7.37,2,403000,4129000
44768,7.09,2.5,403000,4129000
44769,6.62,3,403000,4129000
44770,6.2,3.5,403000,4129000
44771,5.69,4,403000,4129000
44772,5.64,4.5,403000,4129000
44773,5.98,5,403000,4129000
44774,5.95,5.5,403000,4129000
44775,6.1,6,403000,4129000
44776,6.08,6.5,403000,4129000
44777,6.09,7,403000,4129000
44778,6.1,7.5,403000,4129000
44779,6.11,8,403000,4129000
44780,6.13,8.5,403000,4129000
44781,6.14,9,403000,4129000
44782,5.08,9.5,403000,4129000
44783,5.07,10,403000,4129000
44784,5.07,10.5,403000,4129000
44614,7.74,0,403000,4130000
44615,7.72,0.5,403000,4130000
44616,7.59,1,403000,4130000
44617,7.39,1.5,403000,4130000
44618,7.13,2,403000,4130000
44619,6.76,2.5,403000,4130000
44620,6.19,3,403000,4130000
44621,5.71,3.5,403000,4130000
44622,5.55,4,403000,4130000
44623,5.51,4.5,403000,4130000
44624,5.87,5,403000,4130000
44625,5.84,5.5,403000,4130000
44626,5.99,6,403000,4130000
44627,5.94,6.5,403000,4130000
44628,5.95,7,403000,4130000
44629,5.96,7.5,403000,4130000
44630,5.97,8,403000,4130000
44631,5.99,8.5,403000,4130000
44632,6,9,403000,4130000
44633,5.08,9.5,403000,4130000
44634,5.07,10,403000,4130000
44470,7.81,0,403000,4131000
44471,7.79,0.5,403000,4131000
44472,7.65,1,403000,4131000
44473,7.42,1.5,403000,4131000
44474,7.14,2,403000,4131000
44475,6.74,2.5,403000,4131000
44476,6.12,3,403000,4131000
44477,5.59,3.5,403000,4131000
44478,5.43,4,403000,4131000
44479,5.4,4.5,403000,4131000
44480,5.77,5,403000,4131000
44481,5.74,5.5,403000,4131000
44482,5.86,6,403000,4131000
44483,5.8,6.5,403000,4131000
44484,5.81,7,403000,4131000
44485,5.81,7.5,403000,4131000
44486,5.82,8,403000,4131000
44487,5.84,8.5,403000,4131000
44488,5.85,9,403000,4131000
44489,5.08,9.5,403000,4131000
44321,7.88,0,403000,4132000
44323,7.69,1,403000,4132000
44325,7.15,2,403000,4132000
44327,6.06,3,403000,4132000
44329,5.33,4,403000,4132000
