"UTMX","UTMY","Segment","Sdepth","volume_m","DO","Wtemp","uniqueID","Sdepthm","name","habitat","paramofinterest","heatcol","habitatword"
402000,4234400,"HNGMH",24.6063,10000,0.96,78.3,"402000 4234400",7.5,"Hooper Island Bar",0,0,"#000000","Unsuitable"
402100,4233700,"HNGMH",0,10000,7.07,82.4,"402100 4233700",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402100,4233800,"HNGMH",1.64042,10000,6.99,82.3,"402100 4233800",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402100,4233900,"HNGMH",0,10000,7.08,82.4,"402100 4233900",0,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402100,4234000,"HNGMH",1.64042,10000,7,82.3,"402100 4234000",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402100,4234100,"HNGMH",4.92126,10000,6.71,82.2,"402100 4234100",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402100,4234200,"HNGMH",8.2021,10000,6.38,82,"402100 4234200",2.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402100,4234300,"HNGMH",19.68504,10000,3.44,80.1,"402100 4234300",6,"Hooper Island Bar",2,2,"#FFFE00","Tolerable"
402200,4233500,"HNGMH",1.64042,10000,6.98,82.3,"402200 4233500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402200,4233600,"HNGMH",1.64042,10000,6.98,82.3,"402200 4233600",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402200,4233700,"HNGMH",1.64042,10000,6.99,82.3,"402200 4233700",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402200,4233800,"HNGMH",4.92126,10000,6.69,82.2,"402200 4233800",1.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402200,4233900,"HNGMH",9.84252,10000,6.13,81.9,"402200 4233900",3,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402200,4234000,"HNGMH",11.48294,10000,5.87,81.7,"402200 4234000",3.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402300,4233500,"HNGMH",1.64042,10000,6.98,82.3,"402300 4233500",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
402300,4233600,"HNGMH",1.64042,10000,6.98,82.3,"402300 4233600",0.5,"Hooper Island Bar",3,3,"#1E90FF","Suitable"
